match,teamNumber,role,coralPickup,algaePickup,algaeKnocking,underShallowCage,teleopPoints,autoPoints,driverAbility,feeds,defends,coralPickups,algaePickups,coralDrops,algaeDrops,coralL1,coralL2,coralL3,coralL4,processorScores,netScores,netFails,activeAuton,endgame,scouter,notes
Q1,2056,OFFENSE,BOTH,REEF,TRUE,FALSE,44,0,5,0,0,11,0,0,0,5,2,4,0,0,0,0,FALSE,DEEP,,Very good team
Q1,2056,FEEDER,BOTH,REEF,TRUE,FALSE,35,3,5,0,0,5,2,1,0,2,1,1,0,2,0,0,TRUE,DEEP,,Very good
Q1,3256,FEEDER,STATION,GROUND,TRUE,FALSE,29,0,4,0,1,8,2,1,1,3,1,1,2,0,1,0,FALSE,PARKED,,
Q1,4415,OFFENSE,BOTH,BOTH,TRUE,TRUE,61,3,3,0,0,8,5,0,0,1,2,0,5,0,4,1,TRUE,DEEP,,Reliable coral robot and fast robot; but sometimes barge messes up for then.
Q1,4451,OFFENSE,STATION,NONE,FALSE,FALSE,47,17,3,0,0,15,0,3,0,5,0,0,7,0,0,0,TRUE,DEEP,Matthew,Station intake is good until defense gets in the way. they need to nearly line up to the station; otherwise they drop it.
Q1,4451,OFFENSE,STATION,NONE,FALSE,FALSE,36,3,4,0,0,10,1,1,0,5,0,0,4,0,0,0,TRUE,SHALLOW,,
Q1,4655,OFFENSE,STATION,NONE,FALSE,FALSE,29,3,5,0,0,9,1,2,1,6,0,0,1,0,0,0,TRUE,DEEP,,
Q1,4655,OFFENSE,GROUND,NONE,FALSE,TRUE,50,24,4,0,0,17,0,4,0,0,5,2,6,0,0,0,TRUE,DEEP,Yoshi,Looks like it can do algae from reef but did not; very good at ground coral; bulky
Q1,4655,OFFENSE,STATION,NONE,FALSE,FALSE,43,17,5,0,0,10,0,0,0,0,3,3,4,0,0,0,TRUE,DEEP,,Very fast
Q1,9484,DEFENSE,STATION,REEF,TRUE,FALSE,15,10,3,0,6,3,1,0,0,0,0,1,2,0,1,0,TRUE,PARKED,,Their cycle time is ok; but for the last minute they were a defense bot. No ground intaking capabilities; drivers good at defense. Barge capabilities; scored 4 before robot malfunctioned
Q2,1671,FEEDER,STATION,BOTH,TRUE,FALSE,45,3,5,0,0,10,2,2,1,0,4,3,1,0,1,0,TRUE,DEEP,,
Q2,1671,OFFENSE,STATION,REEF,TRUE,FALSE,52,17,4,0,0,14,2,2,1,0,3,3,6,0,1,0,TRUE,DEEP,,
Q2,1671,OFFENSE,STATION,REEF,TRUE,TRUE,43,24,4,0,0,13,2,3,1,0,2,4,4,0,1,0,TRUE,DEEP,Yoshi,Like super nerds but a bit slower
Q2,1796,OFFENSE,STATION,REEF,TRUE,FALSE,61,3,5,0,0,12,3,1,0,2,3,4,2,1,1,1,TRUE,DEEP,,
Q2,4068,OFFENSE,STATION,BOTH,TRUE,FALSE,43,3,4,0,0,12,3,1,2,2,4,4,1,0,1,0,TRUE,PARKED,,1 coral 2 algae auto; they are mainly L3 and L4; drivers experienced; fast elevator
Q2,4607,FEEDER,STATION,GROUND,TRUE,TRUE,64,3,4,0,0,14,4,1,2,4,4,1,4,0,2,0,TRUE,DEEP,,Really good team
Q2,4607,OFFENSE,STATION,BOTH,TRUE,FALSE,33,0,5,0,0,4,5,1,0,0,3,0,0,0,3,2,FALSE,DEEP,,stayed first; started with coral then algae scoring; efficient with scoring
Q2,4607,OFFENSE,STATION,GROUND,FALSE,FALSE,52,24,4,0,0,11,7,0,4,0,5,2,4,0,3,0,TRUE,DEEP,Matthew,tilts sidevator arm for deep climb. Did some ground algae stealing but their barge shot is high so they miss when it's full. 
Q2,6083,OFFENSE,STATION,GROUND,TRUE,FALSE,18,3,2,0,0,4,3,1,1,1,1,0,1,1,0,0,TRUE,PARKED,,Really slow
Q2,6083,OFFENSE,STATION,REEF,TRUE,FALSE,27,3,4,0,0,8,5,3,3,1,2,0,1,2,0,0,TRUE,PARKED,,mainly processor bot; scores usually L1 and L2 but goes for L3 and L4 when necessary 
Q3,1425,OFFENSE,STATION,NONE,FALSE,TRUE,31,0,4,0,0,7,1,1,0,2,0,3,1,0,1,0,FALSE,SHALLOW,,
Q3,1425,OFFENSE,STATION,NONE,FALSE,TRUE,56,10,2,0,0,11,3,0,2,0,0,4,7,0,1,0,TRUE,SHALLOW,,
Q3,1507,OFFENSE,STATION,BOTH,TRUE,FALSE,26,3,2,0,0,3,3,1,1,1,0,0,1,2,0,0,TRUE,DEEP,,Robot tweaked for some reason for first 30 seconds of match 
Q3,2724,OFFENSE,GROUND,BOTH,TRUE,FALSE,30,11,3,0,0,7,4,2,2,0,2,3,0,0,2,0,TRUE,DEEP,Matthew,Struggles with the ground algae intaking and net shot is too low in teleop. They will fix. Solid low level coral scorer (l2l3). 
Q3,2724,OFFENSE,BOTH,REEF,TRUE,FALSE,33,3,4,0,0,9,1,1,0,0,2,3,3,0,0,0,TRUE,FAILED_DEEP,,
Q3,3792,FEEDER,STATION,BOTH,TRUE,FALSE,58,0,4,0,0,9,5,1,0,8,0,0,0,5,0,0,FALSE,DEEP,,
Q3,4421,OFFENSE,STATION,REEF,TRUE,FALSE,25,10,2,0,0,6,4,4,2,0,0,0,2,0,2,0,TRUE,DEEP,,failed L4 all times attempted; did not score any coral: focused on algae de scoring and barge
Q3,4421,OFFENSE,STATION,REEF,TRUE,FALSE,14,10,2,0,0,11,3,10,0,0,0,0,1,0,3,0,TRUE,PARKED,Daniel,Missed 7/8 of their coral but got all their algae
Q3,4421,OFFENSE,STATION,REEF,TRUE,FALSE,25,3,2,0,0,6,2,5,0,0,0,0,1,0,2,0,TRUE,DEEP,,Missed the coral a lot
Q3,6832,OFFENSE,NONE,NONE,FALSE,FALSE,14,3,3,0,0,3,2,2,0,1,0,0,0,2,0,0,TRUE,NOT_ATTEMPTED,Yoshi,Did not move in auto; looks like a lot bot 
Q3,6832,OFFENSE,STATION,GROUND,FALSE,FALSE,18,0,2,0,1,3,5,1,3,2,0,0,0,2,0,0,FALSE,PARKED,,Bad; very shaky driving 
Q3,6832,OFFENSE,STATION,GROUND,FALSE,TRUE,18,0,2,0,0,4,2,1,0,2,0,0,0,2,0,0,FALSE,PARKED,,Kit bot with algae ground intake; L1 and processor 
Q4,418,OFFENSE,STATION,REEF,TRUE,FALSE,50,17,3,0,0,14,0,1,0,2,4,3,4,0,0,0,TRUE,DEEP,,Fast and decently quick coral cycle
Q4,6017,OFFENSE,BOTH,NONE,FALSE,TRUE,17,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,FALSE,DEEP,,Their arm is extremely janky; it twitches and jerks; dislodging the coral inside. It scored maybe 3 coral the entire match (preset issue?). Hang was solid and fast
Q4,6424,OFFENSE,STATION,REEF,TRUE,FALSE,60,10,5,0,0,15,1,0,1,2,6,4,3,0,0,0,TRUE,DEEP,,Really fast cycle
Q4,6424,OFFENSE,STATION,REEF,TRUE,FALSE,66,10,5,0,0,19,1,3,1,1,7,4,4,0,0,0,TRUE,DEEP,,extremely consistent with all levels
Q4,6911,OFFENSE,STATION,BOTH,TRUE,FALSE,65,3,4,0,0,8,8,2,0,0,1,1,4,2,6,0,TRUE,PARKED,,
Q4,6995,OFFENSE,GROUND,BOTH,TRUE,TRUE,49,3,4,1,0,11,6,4,1,0,0,4,3,1,3,0,TRUE,FAILED_DEEP,,Good bot; good with algae and coral
Q4,6995,OFFENSE,GROUND,BOTH,TRUE,TRUE,55,14,4,0,0,9,10,1,4,0,0,4,4,2,4,0,TRUE,FAILED_DEEP,,Algae heavy bot; can cycle coral from ground as well
Q4,9199,OFFENSE,STATION,NONE,FALSE,FALSE,23,10,2,0,0,8,1,2,1,0,1,0,5,0,0,0,TRUE,FAILED_DEEP,,They have really poor coordination and ended up having a coral stuck inside of robot. 
Q4,9199,OFFENSE,STATION,NONE,TRUE,FALSE,25,3,3,0,0,8,1,2,0,1,1,0,4,0,0,0,TRUE,FAILED_DEEP,,coral stuck in robot; attempted l4s but fell to l1; struggled with hanging deep
Q5,78,OFFENSE,STATION,REEF,TRUE,FALSE,61,3,5,0,0,18,2,5,0,4,4,4,1,0,2,0,TRUE,DEEP,Daniel,Missed all coral in auto. Clips the metal bar every time they score algae
Q5,78,OFFENSE,STATION,REEF,TRUE,FALSE,61,6,3,0,0,14,2,0,0,5,4,4,1,0,2,0,TRUE,DEEP,,
Q5,78,OFFENSE,STATION,REEF,TRUE,FALSE,61,3,4,0,0,18,2,5,0,4,4,4,1,0,2,0,TRUE,DEEP,,
Q5,78,OFFENSE,STATION,REEF,TRUE,FALSE,61,3,4,0,0,16,2,3,0,5,3,3,2,0,2,0,TRUE,DEEP,,Fast climb; quick intaking; fast and consistent algae; quick cycles. Really good driver. Only bad thing was auto; as they missed every one.
Q5,1833,OFFENSE,STATION,NONE,TRUE,FALSE,69,10,5,0,0,15,2,0,2,1,3,4,7,0,0,0,TRUE,DEEP,,scored half of the coral on the reef; could efficiently score all levels; knocked some algae onto the ground but didnt score; seem to have really good strategy/coordination
Q5,1833,OFFENSE,STATION,NONE,FALSE,FALSE,42,17,4,0,0,11,0,1,0,1,2,3,4,0,0,0,TRUE,DEEP,Matthew,solid coral cycles. had go play against 6146 defense. does some manual alignment for l4.
Q5,1833,OFFENSE,STATION,REEF,FALSE,FALSE,53,17,4,0,0,15,1,1,1,3,5,0,6,0,0,0,TRUE,DEEP,,Really good team. They can do algae but they do not score it. Instead they focus on coral 
Q5,3492,OFFENSE,STATION,NONE,FALSE,FALSE,42,6,3,0,0,15,0,3,0,1,4,7,0,0,0,0,TRUE,PARKED,,They take a while to align to the feed; and they miss sometimes 
Q5,3492,OFFENSE,STATION,NONE,FALSE,FALSE,46,6,4,0,0,15,1,1,1,3,4,7,0,0,0,0,TRUE,PARKED,,Coral only bot l3-l2
Q5,3492,OFFENSE,STATION,NONE,FALSE,FALSE,43,6,4,0,0,13,0,0,0,2,5,6,0,0,0,0,TRUE,PARKED,,Good bot good cycling for coral; no algae capabilities 
Q5,4967,OFFENSE,NONE,NONE,TRUE,FALSE,7,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,TRUE,PARKED,,Slow; algae intake broken? No coral done; faulty auto
Q5,4967,FEEDER,STATION,REEF,TRUE,FALSE,17,3,1,2,0,2,3,1,1,0,0,0,1,0,0,0,TRUE,DEEP,,Cannot hold algae and doesn’t align well for coral
Q5,6146,OFFENSE,STATION,NONE,FALSE,TRUE,10,6,3,0,8,3,0,0,0,1,0,0,2,0,0,0,TRUE,FAILED_DEEP,Yoshi,Can not be pushed around but it's slow; parked
Q5,8575,OFFENSE,STATION,REEF,TRUE,FALSE,23,3,2,0,0,8,0,1,0,3,1,3,0,0,0,0,TRUE,PARKED,,driving inconsistent
Q6,302,OFFENSE,STATION,REEF,TRUE,FALSE,53,3,4,0,0,11,3,1,0,1,2,2,5,0,3,0,TRUE,FAILED_DEEP,,Occasional miss it of coral but overall good
Q6,649,OFFENSE,GROUND,NONE,FALSE,FALSE,59,0,3,0,0,10,1,0,1,0,0,3,7,0,0,0,FALSE,DEEP,,They are kind of slow due to picking up from ground 
Q6,649,OFFENSE,GROUND,NONE,FALSE,FALSE,55,0,5,0,0,10,0,1,0,0,0,2,7,0,0,0,FALSE,DEEP,,auto only led robot to reef; didnt score it until teleop; uses like a long arm for scoring but theyre efficient with driving and releasing it
Q6,4786,OFFENSE,STATION,GROUND,FALSE,FALSE,57,17,3,0,0,12,3,2,0,0,2,5,3,1,2,0,TRUE,DEEP,Matthew,narrow coral intake. buttery algae. unstable mechanism on coral (l2 l3)
Q6,4786,OFFENSE,STATION,BOTH,TRUE,FALSE,68,17,4,0,0,12,4,0,0,1,3,5,3,2,2,0,TRUE,DEEP,,A bit tippy; but they have good coral and barge cycle times. Solid team 
Q6,4786,OFFENSE,STATION,BOTH,TRUE,FALSE,52,17,3,0,0,12,4,1,0,1,3,4,3,2,2,0,TRUE,FAILED_DEEP,,There hang was not equal on corner of there robot touched the ground
Q6,6909,OFFENSE,STATION,NONE,FALSE,FALSE,28,3,3,0,0,8,0,1,0,5,2,0,0,0,0,0,TRUE,DEEP,,Decent speed; l1+2 focus; faulty auto
Q6,6909,OFFENSE,STATION,NONE,FALSE,FALSE,38,3,3,0,0,10,0,1,0,5,2,0,2,0,0,0,TRUE,DEEP,,Not the worst; cycles coral relatively fast; not a good pick though 
Q6,6909,OFFENSE,STATION,NONE,FALSE,FALSE,35,6,3,0,0,11,1,2,1,6,1,0,2,0,0,0,TRUE,DEEP,,Coral only bot not bad; l1-l2 cycles 
Q6,10260,OFFENSE,STATION,NONE,FALSE,FALSE,20,0,2,0,0,10,0,1,0,9,0,0,0,0,0,0,FALSE,PARKED,,kit bot
Q6,10260,OFFENSE,STATION,NONE,FALSE,FALSE,16,3,3,0,0,10,0,2,0,8,0,0,0,0,0,0,TRUE,NOT_ATTEMPTED,,Ok for a kitbot; but at Worlds there’s better options 
Q6,10291,OFFENSE,GROUND,BOTH,TRUE,FALSE,44,3,3,0,0,7,5,2,3,0,0,5,0,2,0,0,TRUE,DEEP,,
Q6,10291,OFFENSE,GROUND,REEF,TRUE,FALSE,46,3,3,0,0,8,5,2,3,1,0,5,0,2,0,0,TRUE,DEEP,,Really good rookie! Missed a few coral and dropped a few algae; but honestly I’m pretty impressed
Q7,3297,DEFENSE,GROUND,NONE,FALSE,FALSE,18,7,2,0,7,1,2,1,0,0,0,0,0,1,1,0,TRUE,DEEP,Matthew,intake wasn't working moved on to to play defense. Pinned well but got fouls called on them for hitting teammates too early. 
Q7,3297,OFFENSE,STATION,NONE,FALSE,FALSE,36,10,3,0,0,13,1,2,0,4,3,2,2,0,1,0,TRUE,PARKED,,Can pick coral up from ground as well
Q7,3297,DEFENSE,GROUND,NONE,TRUE,FALSE,18,14,3,0,2,1,2,0,0,0,0,0,1,1,1,0,TRUE,DEEP,,Penalized; reliable algae removal; 1 piece coral auto+ barge algae
Q7,4005,FEEDER,STATION,NONE,FALSE,FALSE,35,0,4,0,0,8,0,1,0,0,0,0,7,0,0,0,FALSE,FAILED_DEEP,,
Q7,4005,OFFENSE,STATION,NONE,FALSE,FALSE,30,0,2,0,0,6,0,0,0,0,0,0,6,0,0,0,FALSE,FAILED_DEEP,,
Q7,4005,OFFENSE,STATION,NONE,FALSE,FALSE,30,3,4,0,0,7,0,1,0,0,0,0,6,0,0,0,TRUE,FAILED_DEEP,,They would have scored L4 in auto; but it failed. Otherwise they seemed fairly quick
Q7,5660,OFFENSE,NONE,NONE,TRUE,FALSE,64,3,4,0,1,17,2,3,1,4,3,4,3,0,1,0,TRUE,DEEP,Angella,Can coral all levels. Wide intake should be less affected against defense.
Q7,7197,OFFENSE,BOTH,REEF,TRUE,FALSE,38,3,3,0,0,15,1,3,1,5,3,3,1,0,0,0,TRUE,PARKED,,Good on L2 and L3; but they drop the coral sometimes. They missed on auto too. 
Q7,7197,OFFENSE,BOTH,REEF,FALSE,FALSE,28,17,3,0,0,11,1,2,0,3,2,2,2,1,0,0,TRUE,PARKED,,Couldn’t score algae; cycling was not very fast.
